sku_id,category,true_base_demand,true_price_elasticity,true_promo_uplift_pct,true_display_uplift_pct,true_email_app_uplift_pct,true_seasonality_strength,true_weekend_effect_pct,true_stockout_lost_sales_factor,true_cannibalisation_factor,true_margin_impact_of_promotion,true_demand_trend_pct_per_year,data_generation_notes,true_realised_att_pct
SKU0001,Fresh Produce,15.349,-1.8629,25.63,13.14,10.87,0.24,10.97,0.94,0.068,0.631,-16.69,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",134.607
SKU0002,Dairy & Eggs,29.38,-0.5808,20.62,8.73,8.93,0.14,6.57,0.994,0.038,0.33,-2.06,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",58.996
SKU0003,Ambient Grocery,15.062,-1.1856,28.57,10.33,8.72,0.07,5.38,0.748,0.059,0.334,8.99,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",93.457
SKU0004,Beverages,14.307,-1.493,24.94,10.45,5.55,0.24,3.47,0.886,0.07,0.239,-10.35,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",110.21
SKU0005,Bakery,16.815,-0.9808,22.26,12.99,6.3,0.14,9.98,0.762,0.085,0.703,-9.09,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",81.77
SKU0006,Fresh Produce,19.552,-1.8939,28.27,9.73,4.28,0.24,7.61,0.8,0.071,0.304,-12.52,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",129.744
SKU0007,Dairy & Eggs,11.216,-0.633,6.81,6.08,9.84,0.14,13.56,0.807,0.068,0.323,18.74,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",40.115
SKU0008,Frozen,3.641,-0.9247,18.64,10.24,7.92,0.14,6.27,0.899,0.081,0.292,3.66,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",65.466
SKU0009,Snacks & Confectionery,9.988,-1.3791,31.61,15.29,8.21,0.14,13.53,0.821,0.039,0.492,16.88,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",127.767
SKU0010,Seasonal,11.966,-1.4744,36.06,8.36,5.33,0.24,10.6,0.846,0.068,0.441,3.45,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0011,Household & Cleaning,3.398,-0.6331,21.96,16.55,8.04,0.07,12.53,0.883,0.055,0.377,-23.08,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",71.119
SKU0012,Dairy & Eggs,19.78,-0.5682,25.2,6.09,9.81,0.14,3.7,0.857,0.069,0.309,18.93,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",70.303
SKU0013,Household & Cleaning,2.845,-1.1996,16.11,16.61,9.1,0.07,6.61,0.745,0.045,0.419,-20.86,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",85.535
SKU0014,Seasonal,8.344,-0.4997,40.28,8.76,9.65,0.24,5.39,0.994,0.038,0.432,5.31,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",105.304
SKU0015,Frozen,11.055,-1.0721,15.48,15.8,5.2,0.14,11.24,0.865,0.068,0.231,10.82,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0016,Snacks & Confectionery,16.06,-1.4532,27.3,9.62,4.16,0.14,16.83,0.854,0.07,0.397,-11.87,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",115.456
SKU0017,Ambient Grocery,9.815,-0.9654,18.93,9.53,5.75,0.07,9.79,0.852,0.099,0.323,-21.23,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",74.805
SKU0018,Ambient Grocery,17.987,-1.0455,15.75,10.2,8.74,0.07,5.62,0.874,0.053,0.228,-9.95,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",70.617
SKU0019,Fresh Produce,9.446,-1.9072,31.21,15.41,6.33,0.24,17.06,0.787,0.053,0.617,-25.92,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",145.55
SKU0020,Dairy & Eggs,19.1,-0.519,7.86,17.94,7.44,0.14,13.34,0.893,0.086,0.674,14.24,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",41.206
SKU0021,Household & Cleaning,9.096,-1.0739,17.05,6.27,7.92,0.07,15.38,0.835,0.033,0.358,9.14,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",75.456
SKU0022,Bakery,20.634,-1.0538,21.93,8.06,7.9,0.14,14.3,0.981,0.029,0.71,11.38,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",80.165
SKU0023,Frozen,5.612,-1.0884,36.68,6.65,7.05,0.14,12.34,0.792,0.055,0.505,-26.88,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",118.819
SKU0024,Fresh Produce,30.048,-1.6812,25.45,11.27,4.71,0.24,16.75,0.993,0.044,0.296,10.77,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",114.748
SKU0025,Beverages,9.36,-0.4945,32.21,16.49,7.0,0.24,3.83,0.712,0.038,0.664,5.99,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",97.069
SKU0026,Fresh Produce,12.301,-1.7222,33.53,9.83,10.44,0.24,7.97,0.95,0.092,0.466,-10.63,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",158.349
SKU0027,Ambient Grocery,5.456,-1.199,16.89,13.9,3.7,0.07,10.11,0.765,0.025,0.202,-10.26,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",76.685
SKU0028,Seasonal,2.959,-0.9838,33.94,11.46,5.41,0.24,17.87,0.982,0.03,0.428,-13.29,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0029,Fresh Produce,26.766,-1.7384,36.17,10.4,8.97,0.24,4.86,0.8,0.077,0.544,-3.91,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",158.07
SKU0030,Ambient Grocery,8.109,-1.1775,14.82,8.09,3.39,0.07,5.88,0.701,0.06,0.491,-12.67,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",65.731
SKU0031,Health & Beauty,6.624,-0.5813,30.77,6.04,8.39,0.07,3.81,0.96,0.022,0.492,0.28,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0032,Beverages,18.763,-1.8846,33.67,13.3,8.45,0.24,4.84,0.902,0.09,0.736,-12.05,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",166.867
SKU0033,Seasonal,7.045,-1.6162,30.14,15.04,7.34,0.24,6.86,0.752,0.034,0.453,-23.3,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",133.871
SKU0034,Snacks & Confectionery,18.506,-1.4541,25.11,6.63,10.44,0.14,4.09,0.722,0.056,0.335,-19.08,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",114.523
SKU0035,Household & Cleaning,10.956,-1.2249,22.6,10.86,6.59,0.07,8.63,0.711,0.043,0.267,14.35,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",102.311
SKU0036,Household & Cleaning,9.176,-0.8997,19.45,7.19,3.82,0.07,10.21,0.833,0.031,0.202,6.39,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0037,Dairy & Eggs,9.478,-0.4892,28.46,15.6,10.32,0.14,9.09,0.822,0.077,0.545,5.05,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",78.182
SKU0038,Ambient Grocery,16.636,-0.9306,15.37,11.25,7.52,0.07,5.08,0.788,0.044,0.344,-8.27,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",72.958
SKU0039,Beverages,18.713,-1.6267,34.92,12.11,4.61,0.24,4.54,0.947,0.058,0.234,5.5,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",
SKU0040,Beverages,7.039,-0.9586,37.26,15.02,10.01,0.24,12.03,0.827,0.054,0.307,-29.02,"Latent demand includes category seasonality, store effect, price response, promotion effect, support-channel uplift, long-run trend, autocorrelation and random noise. IMPORTANT: true_promo_uplift_pct is a structural coefficient applied per 10 percentage points of discount, and it compounds with the separate price response. It is NOT the average treatment effect and must not be compared directly against a DiD or PSM estimate. Use true_realised_att_pct for that comparison.",119.27
