table_name,column_name,data_type,description,grain,whether_safe_for_model_training,notes
dim_store.csv,store_id,Synthetic CSV field; infer with pandas,Unique Northstar store identifier.,One row per entity,True,
dim_store.csv,store_name,Synthetic CSV field; infer with pandas,Synthetic store name field.,One row per entity,True,
dim_store.csv,city,Synthetic CSV field; infer with pandas,Synthetic city field.,One row per entity,True,
dim_store.csv,region,Synthetic CSV field; infer with pandas,Synthetic region field.,One row per entity,True,
dim_store.csv,country,Synthetic CSV field; infer with pandas,Synthetic country field.,One row per entity,True,
dim_store.csv,postcode_district,Synthetic CSV field; infer with pandas,Synthetic postcode district field.,One row per entity,True,
dim_store.csv,store_format,Synthetic CSV field; infer with pandas,Synthetic store format field.,One row per entity,True,
dim_store.csv,opening_date,Synthetic CSV field; infer with pandas,Synthetic opening date field.,One row per entity,True,
dim_store.csv,floor_area_sqm,Synthetic CSV field; infer with pandas,Synthetic floor area sqm field.,One row per entity,True,
dim_store.csv,local_deprivation_decile,Synthetic CSV field; infer with pandas,Synthetic local deprivation decile field.,One row per entity,True,
dim_store.csv,competition_intensity_score,Synthetic CSV field; infer with pandas,Synthetic competition intensity score field.,One row per entity,True,
dim_store.csv,average_daily_footfall,Synthetic CSV field; infer with pandas,Synthetic average daily footfall field.,One row per entity,True,
dim_store.csv,store_income_index,Synthetic CSV field; infer with pandas,Synthetic store income index field.,One row per entity,True,
dim_store.csv,latitude,Synthetic CSV field; infer with pandas,Synthetic latitude field.,One row per entity,True,
dim_store.csv,longitude,Synthetic CSV field; infer with pandas,Synthetic longitude field.,One row per entity,True,
dim_store.csv,is_active,Synthetic CSV field; infer with pandas,Synthetic is active field.,One row per entity,True,
dim_store.csv,rollout_cohort,Synthetic CSV field; infer with pandas,Synthetic rollout cohort field.,One row per entity,True,
dim_product.csv,sku_id,Synthetic CSV field; infer with pandas,Unique stock keeping unit identifier.,One row per entity,True,
dim_product.csv,sku_name,Synthetic CSV field; infer with pandas,Synthetic sku name field.,One row per entity,True,
dim_product.csv,brand_type,Synthetic CSV field; infer with pandas,Synthetic brand type field.,One row per entity,True,
dim_product.csv,category,Synthetic CSV field; infer with pandas,Synthetic category field.,One row per entity,True,
dim_product.csv,subcategory,Synthetic CSV field; infer with pandas,Synthetic subcategory field.,One row per entity,True,
dim_product.csv,supplier_id,Synthetic CSV field; infer with pandas,Synthetic supplier id field.,One row per entity,True,
dim_product.csv,shelf_life_days,Synthetic CSV field; infer with pandas,Synthetic shelf life days field.,One row per entity,True,
dim_product.csv,is_perishable,Synthetic CSV field; infer with pandas,Synthetic is perishable field.,One row per entity,True,
