date,store_id,sku_id,regular_unit_price_gbp,actual_unit_price_gbp,discount_pct,promo_flag,promo_type,display_support_flag,email_or_app_support_flag,leaflet_support_flag,competitor_price_index,store_footfall,local_event_flag,holiday_flag,weather_condition,temperature_celsius,rainfall_mm,opening_stock_units,delivery_units,closing_stock_units,stockout_flag,hours_out_of_stock,lag_1_units_sold,lag_7_units_sold,rolling_7_day_avg_units_sold,rolling_28_day_avg_units_sold,day_of_week,month,week_of_year,is_weekend,is_payday_window,is_school_holiday,is_bank_holiday,units_sold,potential_demand_units,sales_revenue_gbp,cost_of_goods_sold_gbp,retailer_promo_cost_gbp,gross_profit_gbp,gross_margin_pct,waste_units,lost_sales_estimate_units,transaction_count,average_basket_value_gbp,anomaly_flag,anomaly_type
2023-01-01,STR001,SKU0001,3.81,3.81,0.0,False,None,False,False,False,1.087,1870,False,True,Rain,-1.5,3.4,105,12,101,False,0.0,14,14,14.0,14.0,6,1,52,True,True,False,True,13,13,49.53,26.78,0.0,22.75,45.93,3,0,10,17.58,False,
2023-01-01,STR001,SKU0002,1.69,1.69,0.0,False,None,False,False,False,0.983,1799,False,True,Rain,-1.5,3.4,299,0,251,False,0.0,34,34,34.0,34.0,6,1,52,True,True,False,True,43,43,72.67,43.43,0.0,29.24,40.24,5,0,16,15.26,False,
2023-01-01,STR001,SKU0003,1.77,1.77,0.0,False,None,False,False,False,1.033,1851,False,True,Rain,-1.5,3.4,137,0,69,False,0.0,19,19,19.0,19.0,6,1,52,True,True,False,True,68,68,120.36,68.0,0.0,52.36,43.5,0,0,25,18.33,False,
2023-01-01,STR001,SKU0004,11.17,11.17,0.0,False,None,False,False,False,1.038,1891,False,True,Rain,-1.5,3.4,97,87,117,False,0.0,19,19,19.0,19.0,6,1,52,True,True,False,True,67,67,748.39,439.52,0.0,308.87,41.27,0,0,26,64.5,False,
2023-01-01,STR001,SKU0005,1.32,1.32,0.0,False,None,False,False,False,0.997,1920,False,True,Rain,-1.5,3.4,171,5,163,False,0.0,22,22,22.0,22.0,6,1,52,True,True,False,True,13,13,17.16,11.31,0.0,5.85,34.09,0,0,8,4.35,False,
2023-01-01,STR002,SKU0001,3.81,3.81,0.0,False,None,False,False,False,0.978,1184,False,True,Rain,-1.5,3.4,70,63,115,False,0.0,15,15,15.0,15.0,6,1,52,True,True,False,True,11,11,41.91,22.66,0.0,19.25,45.93,7,0,7,20.26,False,
2023-01-01,STR002,SKU0002,1.69,1.69,0.0,False,None,False,False,False,1.038,1046,False,True,Rain,-1.5,3.4,107,121,144,False,0.0,21,21,21.0,21.0,6,1,52,True,True,False,True,82,82,138.58,82.82,0.0,55.76,40.24,1,0,41,11.56,False,
2023-01-01,STR002,SKU0003,1.77,1.77,0.0,False,None,False,False,False,1.075,1131,False,True,Rain,-1.5,3.4,55,92,98,False,0.0,13,13,13.0,13.0,6,1,52,True,True,False,True,49,49,86.73,49.0,0.0,37.73,43.5,0,0,30,7.59,False,
2023-01-01,STR002,SKU0004,11.17,11.17,0.0,False,None,False,False,False,0.969,1051,False,True,Rain,-1.5,3.4,117,32,101,False,0.0,10,10,10.0,10.0,6,1,52,True,True,False,True,48,48,536.16,314.88,0.0,221.28,41.27,0,0,20,52.38,False,
2023-01-01,STR002,SKU0005,1.32,1.32,0.0,False,None,False,False,False,1.031,1069,False,True,Rain,-1.5,3.4,123,2,100,False,0.0,12,12,12.0,12.0,6,1,52,True,True,False,True,25,25,33.0,21.75,0.0,11.25,34.09,0,0,12,6.19,False,
2023-01-02,STR001,SKU0001,3.81,3.81,0.0,False,None,False,False,False,0.97,1735,False,True,Rain,5.8,4.1,101,0,88,False,0.0,13,13,13.0,13.0,0,1,1,False,True,False,True,12,12,45.72,24.72,0.0,21.0,45.93,1,0,11,15.03,False,
2023-01-02,STR001,SKU0002,1.69,1.69,0.0,False,None,False,False,False,0.996,1576,False,True,Rain,5.8,4.1,251,0,200,False,0.0,43,43,43.0,43.0,0,1,1,False,True,False,True,42,42,70.98,42.42,0.0,28.56,40.24,9,0,22,5.83,False,
2023-01-02,STR001,SKU0003,1.77,1.77,0.0,False,None,False,False,False,0.968,1793,False,True,Rain,5.8,4.1,69,73,96,False,0.0,68,68,68.0,68.0,0,1,1,False,True,False,True,46,46,81.42,46.0,0.0,35.42,43.5,0,0,20,8.64,False,
