date,store_id,sku_id,opening_stock_units,delivery_units,delivery_scheduled_flag,delivery_delay_flag,damaged_units,expired_or_wasted_units,closing_stock_units,stockout_flag,hours_out_of_stock,stock_cover_days,reorder_point_units,expected_lead_time_days
2023-01-01,STR001,SKU0001,105,12,True,False,0,3,101,False,0.0,7.21,99,3
2023-01-01,STR001,SKU0002,299,0,False,False,0,5,251,False,0.0,7.38,219,4
2023-01-01,STR001,SKU0003,137,0,False,False,0,0,69,False,0.0,3.63,79,2
2023-01-01,STR001,SKU0004,97,87,True,False,0,0,117,False,0.0,6.16,171,8
2023-01-01,STR001,SKU0005,171,5,True,False,0,0,163,False,0.0,7.41,184,7
2023-01-01,STR002,SKU0001,70,63,True,False,0,7,115,False,0.0,7.67,81,3
2023-01-01,STR002,SKU0002,107,121,True,False,1,1,144,False,0.0,6.86,178,4
2023-01-01,STR002,SKU0003,55,92,True,False,0,0,98,False,0.0,7.54,64,2
2023-01-01,STR002,SKU0004,117,32,True,False,0,0,101,False,0.0,10.1,138,8
2023-01-01,STR002,SKU0005,123,2,True,False,0,0,100,False,0.0,8.33,150,7
2023-01-02,STR001,SKU0001,101,0,False,False,0,1,88,False,0.0,6.77,99,3
2023-01-02,STR001,SKU0002,251,0,False,False,0,9,200,False,0.0,4.65,219,4
2023-01-02,STR001,SKU0003,69,73,True,False,0,0,96,False,0.0,1.41,79,2
2023-01-02,STR001,SKU0004,117,67,True,False,0,0,83,False,0.0,1.24,171,8
2023-01-02,STR001,SKU0005,163,3,True,False,0,0,146,False,0.0,11.23,184,7
2023-01-02,STR002,SKU0001,115,0,False,False,0,2,102,False,0.0,9.27,81,3
2023-01-02,STR002,SKU0002,144,53,True,False,0,5,145,False,0.0,1.77,178,4
2023-01-02,STR002,SKU0003,98,7,True,False,0,0,66,False,0.0,1.35,64,2
2023-01-02,STR002,SKU0004,101,34,True,False,0,0,66,False,0.0,1.38,138,8
2023-01-02,STR002,SKU0005,100,2,True,False,0,0,81,False,0.0,3.24,150,7
2023-01-03,STR001,SKU0001,88,43,True,False,1,4,107,False,0.0,8.56,99,3
2023-01-03,STR001,SKU0002,200,80,True,False,1,7,251,False,0.0,5.91,219,4
2023-01-03,STR001,SKU0003,96,0,False,False,0,0,82,False,0.0,1.44,79,2
2023-01-03,STR001,SKU0004,83,99,True,False,0,0,177,False,0.0,2.11,171,8
2023-01-03,STR001,SKU0005,146,51,True,False,0,0,182,False,0.0,11.03,184,7
2023-01-03,STR002,SKU0001,102,0,False,False,0,2,87,False,0.0,7.91,81,3
2023-01-03,STR002,SKU0002,145,53,True,False,1,1,152,False,0.0,2.36,178,4
2023-01-03,STR002,SKU0003,66,0,False,False,0,0,49,False,0.0,1.11,64,2
2023-01-03,STR002,SKU0004,66,18,True,False,0,0,75,False,0.0,1.28,138,8
2023-01-03,STR002,SKU0005,81,49,True,False,0,0,98,False,0.0,4.26,150,7
2023-01-04,STR001,SKU0001,107,0,False,False,0,1,86,False,0.0,5.86,99,3
2023-01-04,STR001,SKU0002,251,0,False,False,0,4,212,False,0.0,6.0,219,4
2023-01-04,STR001,SKU0003,82,0,False,False,0,0,60,False,0.0,1.41,79,2
2023-01-04,STR001,SKU0004,177,0,False,False,0,0,163,False,0.0,2.83,171,8
2023-01-04,STR001,SKU0005,182,4,True,False,0,0,185,False,0.0,11.56,184,7
2023-01-04,STR002,SKU0001,87,0,False,False,0,3,68,False,0.0,5.83,81,3
2023-01-04,STR002,SKU0002,152,129,True,False,0,4,227,False,0.0,3.94,178,4
2023-01-04,STR002,SKU0003,49,43,True,False,0,0,81,False,0.0,2.31,64,2
2023-01-04,STR002,SKU0004,75,24,True,False,0,0,94,False,0.0,2.24,138,8
2023-01-04,STR002,SKU0005,98,2,True,False,0,0,76,False,0.0,2.92,150,7
2023-01-05,STR001,SKU0001,86,30,True,False,2,1,89,False,0.0,5.56,99,3
2023-01-05,STR001,SKU0002,212,168,True,False,0,23,319,False,0.0,9.05,219,4
2023-01-05,STR001,SKU0003,60,49,True,False,0,0,85,False,0.0,2.27,79,2
2023-01-05,STR001,SKU0004,163,3,True,False,0,0,143,False,0.0,3.06,171,8
2023-01-05,STR001,SKU0005,185,5,True,False,0,0,172,False,0.0,14.04,184,7
2023-01-05,STR002,SKU0001,68,54,True,False,0,7,108,False,0.0,8.47,81,3
