promotion_id,campaign_id,campaign_wave_days,store_id,sku_id,promo_start_date,promo_end_date,promo_type,discount_pct,display_support_flag,email_or_app_support_flag,leaflet_support_flag,campaign_theme,promotion_cost_gbp,vendor_funded_pct,promotion_planned_flag
PRM0000191,CMP00017,21,STR002,SKU0004,2024-01-22,2024-01-31,Display-only,0,True,False,False,Everyday Value,5.0,60.0,True
PRM0000196,CMP00017,42,STR001,SKU0004,2024-02-12,2024-02-15,Display-only,0,True,False,False,Everyday Value,5.0,50.0,True
PRM0000331,CMP00031,21,STR002,SKU0001,2023-10-28,2023-11-09,Percent Off,20,True,False,False,Payday Offers,28.14,75.0,True
PRM0000339,CMP00031,42,STR001,SKU0001,2023-11-18,2023-11-22,Percent Off,20,False,False,False,Everyday Value,11.61,40.0,True
PRM0000497,CMP00046,21,STR002,SKU0001,2023-12-30,2024-01-11,Clubcard-style Price,10,True,False,False,Festive Favourites,13.67,40.0,True
PRM0000498,CMP00046,42,STR001,SKU0001,2024-01-20,2024-01-31,Clubcard-style Price,10,False,True,True,Everyday Value,11.02,75.0,True
PRM0000718,CMP00065,21,STR002,SKU0004,2024-11-23,2024-12-03,Multi-buy,20,False,False,False,Everyday Value,69.41,40.0,True
PRM0000725,CMP00065,42,STR001,SKU0004,2024-12-14,2024-12-26,Multi-buy,30,False,False,False,Festive Favourites,219.87,0.0,True
PRM0001252,CMP00111,42,STR001,SKU0002,2024-06-09,2024-06-21,Percent Off,5,False,False,False,Everyday Value,6.94,25.0,True
PRM0001303,CMP00116,42,STR001,SKU0004,2024-10-07,2024-10-16,Display-only,0,True,False,False,Everyday Value,5.0,75.0,True
PRM0001352,CMP00121,21,STR002,SKU0001,2024-07-07,2024-07-20,Multi-buy,25,False,True,False,Everyday Value,34.83,75.0,True
PRM0001520,CMP00137,21,STR002,SKU0003,2024-04-15,2024-04-25,Clubcard-style Price,10,True,False,False,Everyday Value,8.1,60.0,True
PRM0001816,CMP00162,21,STR002,SKU0001,2024-01-02,2024-01-05,Percent Off,20,False,False,False,Festive Favourites,8.97,60.0,True
