date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,is_month_end,is_payday_window,is_school_holiday,is_bank_holiday,bank_holiday_name,is_easter_period,is_christmas_period,is_black_friday_period,is_heatwave,weather_condition,temperature_celsius
2023-01-01,2023,Q1,1,January,52,6,Sunday,True,False,True,False,True,New Year's Day,False,True,False,False,Rain,-1.5
2023-01-02,2023,Q1,1,January,1,0,Monday,False,False,True,False,True,2 January Holiday,False,True,False,False,Rain,5.8
2023-01-03,2023,Q1,1,January,1,1,Tuesday,False,False,True,False,False,,False,False,False,False,Cold,-0.1
2023-01-04,2023,Q1,1,January,1,2,Wednesday,False,False,False,False,False,,False,False,False,False,Rain,3.9
2023-01-05,2023,Q1,1,January,1,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,1.7
2023-01-06,2023,Q1,1,January,1,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,4.5
2023-01-07,2023,Q1,1,January,1,5,Saturday,True,False,False,False,False,,False,False,False,False,Cold,-7.3
2023-01-08,2023,Q1,1,January,1,6,Sunday,True,False,False,False,False,,False,False,False,False,Cold,0.8
2023-01-09,2023,Q1,1,January,2,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,2.6
2023-01-10,2023,Q1,1,January,2,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,4.1
2023-01-11,2023,Q1,1,January,2,2,Wednesday,False,False,False,False,False,,False,False,False,False,Rain,10.0
2023-01-12,2023,Q1,1,January,2,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,4.1
2023-01-13,2023,Q1,1,January,2,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,1.4
2023-01-14,2023,Q1,1,January,2,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,11.1
2023-01-15,2023,Q1,1,January,2,6,Sunday,True,False,False,False,False,,False,False,False,False,Cold,1.3
2023-01-16,2023,Q1,1,January,3,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,1.5
2023-01-17,2023,Q1,1,January,3,1,Tuesday,False,False,False,False,False,,False,False,False,False,Cloudy,9.2
2023-01-18,2023,Q1,1,January,3,2,Wednesday,False,False,False,False,False,,False,False,False,False,Rain,5.7
2023-01-19,2023,Q1,1,January,3,3,Thursday,False,False,False,False,False,,False,False,False,False,Rain,3.3
2023-01-20,2023,Q1,1,January,3,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,2.2
2023-01-21,2023,Q1,1,January,3,5,Saturday,True,False,False,False,False,,False,False,False,False,Rain,2.4
2023-01-22,2023,Q1,1,January,3,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,7.0
2023-01-23,2023,Q1,1,January,4,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,-3.7
2023-01-24,2023,Q1,1,January,4,1,Tuesday,False,False,False,False,False,,False,False,False,False,Cloudy,6.6
2023-01-25,2023,Q1,1,January,4,2,Wednesday,False,False,True,False,False,,False,False,False,False,Dry,3.4
2023-01-26,2023,Q1,1,January,4,3,Thursday,False,False,True,False,False,,False,False,False,False,Rain,6.3
2023-01-27,2023,Q1,1,January,4,4,Friday,False,False,True,False,False,,False,False,False,False,Cloudy,8.4
2023-01-28,2023,Q1,1,January,4,5,Saturday,True,False,True,False,False,,False,False,False,False,Cloudy,6.3
2023-01-29,2023,Q1,1,January,4,6,Sunday,True,False,True,False,False,,False,False,False,False,Rain,8.6
2023-01-30,2023,Q1,1,January,5,0,Monday,False,False,True,False,False,,False,False,False,False,Dry,5.9
2023-01-31,2023,Q1,1,January,5,1,Tuesday,False,True,True,False,False,,False,False,False,False,Cold,-3.0
2023-02-01,2023,Q1,2,February,5,2,Wednesday,False,False,True,False,False,,False,False,False,False,Rain,8.0
2023-02-02,2023,Q1,2,February,5,3,Thursday,False,False,True,False,False,,False,False,False,False,Cold,1.0
2023-02-03,2023,Q1,2,February,5,4,Friday,False,False,True,False,False,,False,False,False,False,Rain,12.4
2023-02-04,2023,Q1,2,February,5,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,3.1
2023-02-05,2023,Q1,2,February,5,6,Sunday,True,False,False,False,False,,False,False,False,False,Dry,3.7
2023-02-06,2023,Q1,2,February,6,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,-3.3
2023-02-07,2023,Q1,2,February,6,1,Tuesday,False,False,False,False,False,,False,False,False,False,Dry,4.8
2023-02-08,2023,Q1,2,February,6,2,Wednesday,False,False,False,False,False,,False,False,False,False,Cold,-0.2
2023-02-09,2023,Q1,2,February,6,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,2.9
2023-02-10,2023,Q1,2,February,6,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,4.8
2023-02-11,2023,Q1,2,February,6,5,Saturday,True,False,False,False,False,,False,False,False,False,Cloudy,6.0
2023-02-12,2023,Q1,2,February,6,6,Sunday,True,False,False,True,False,,False,False,False,False,Dry,4.6
2023-02-13,2023,Q1,2,February,7,0,Monday,False,False,False,True,False,,False,False,False,False,Rain,8.4
2023-02-14,2023,Q1,2,February,7,1,Tuesday,False,False,False,True,False,,False,False,False,False,Cloudy,2.6
2023-02-15,2023,Q1,2,February,7,2,Wednesday,False,False,False,True,False,,False,False,False,False,Cold,-2.1
2023-02-16,2023,Q1,2,February,7,3,Thursday,False,False,False,True,False,,False,False,False,False,Dry,10.6
2023-02-17,2023,Q1,2,February,7,4,Friday,False,False,False,True,False,,False,False,False,False,Cloudy,10.0
2023-02-18,2023,Q1,2,February,7,5,Saturday,True,False,False,True,False,,False,False,False,False,Cold,-1.6
2023-02-19,2023,Q1,2,February,7,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,10.9
2023-02-20,2023,Q1,2,February,8,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,12.8
2023-02-21,2023,Q1,2,February,8,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,1.3
2023-02-22,2023,Q1,2,February,8,2,Wednesday,False,False,False,False,False,,False,False,False,False,Cloudy,6.6
2023-02-23,2023,Q1,2,February,8,3,Thursday,False,False,False,False,False,,False,False,False,False,Cold,1.0
2023-02-24,2023,Q1,2,February,8,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,9.7
2023-02-25,2023,Q1,2,February,8,5,Saturday,True,False,True,False,False,,False,False,False,False,Rain,3.5
2023-02-26,2023,Q1,2,February,8,6,Sunday,True,False,True,False,False,,False,False,False,False,Dry,15.1
2023-02-27,2023,Q1,2,February,9,0,Monday,False,False,True,False,False,,False,False,False,False,Dry,9.5
2023-02-28,2023,Q1,2,February,9,1,Tuesday,False,True,True,False,False,,False,False,False,False,Cloudy,4.3
2023-03-01,2023,Q1,3,March,9,2,Wednesday,False,False,True,False,False,,False,False,False,False,Cloudy,5.2
2023-03-02,2023,Q1,3,March,9,3,Thursday,False,False,True,False,False,,False,False,False,False,Cloudy,3.0
2023-03-03,2023,Q1,3,March,9,4,Friday,False,False,True,False,False,,False,False,False,False,Cloudy,4.9
2023-03-04,2023,Q1,3,March,9,5,Saturday,True,False,False,False,False,,False,False,False,False,Dry,7.5
2023-03-05,2023,Q1,3,March,9,6,Sunday,True,False,False,False,False,,False,False,False,False,Dry,9.5
2023-03-06,2023,Q1,3,March,10,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,8.4
2023-03-07,2023,Q1,3,March,10,1,Tuesday,False,False,False,False,False,,False,False,False,False,Cloudy,13.7
2023-03-08,2023,Q1,3,March,10,2,Wednesday,False,False,False,False,False,,False,False,False,False,Cloudy,7.7
2023-03-09,2023,Q1,3,March,10,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,12.5
2023-03-10,2023,Q1,3,March,10,4,Friday,False,False,False,False,False,,False,False,False,False,Cloudy,10.7
2023-03-11,2023,Q1,3,March,10,5,Saturday,True,False,False,False,False,,False,False,False,False,Dry,8.0
2023-03-12,2023,Q1,3,March,10,6,Sunday,True,False,False,False,False,,False,False,False,False,Rain,10.3
2023-03-13,2023,Q1,3,March,11,0,Monday,False,False,False,False,False,,False,False,False,False,Rain,10.2
2023-03-14,2023,Q1,3,March,11,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,13.7
2023-03-15,2023,Q1,3,March,11,2,Wednesday,False,False,False,False,False,,False,False,False,False,Dry,7.9
2023-03-16,2023,Q1,3,March,11,3,Thursday,False,False,False,False,False,,False,False,False,False,Dry,11.6
2023-03-17,2023,Q1,3,March,11,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,13.8
2023-03-18,2023,Q1,3,March,11,5,Saturday,True,False,False,False,False,,False,False,False,False,Heavy Rain,8.6
2023-03-19,2023,Q1,3,March,11,6,Sunday,True,False,False,False,False,,False,False,False,False,Cloudy,11.2
2023-03-20,2023,Q1,3,March,12,0,Monday,False,False,False,False,False,,False,False,False,False,Cloudy,11.8
2023-03-21,2023,Q1,3,March,12,1,Tuesday,False,False,False,False,False,,False,False,False,False,Rain,8.0
2023-03-22,2023,Q1,3,March,12,2,Wednesday,False,False,False,False,False,,False,False,False,False,Cloudy,10.6
2023-03-23,2023,Q1,3,March,12,3,Thursday,False,False,False,False,False,,False,False,False,False,Cloudy,7.2
2023-03-24,2023,Q1,3,March,12,4,Friday,False,False,False,False,False,,False,False,False,False,Rain,12.2
2023-03-25,2023,Q1,3,March,12,5,Saturday,True,False,True,False,False,,False,False,False,False,Rain,9.2
2023-03-26,2023,Q1,3,March,12,6,Sunday,True,False,True,False,False,,False,False,False,False,Cloudy,8.8
2023-03-27,2023,Q1,3,March,13,0,Monday,False,False,True,False,False,,False,False,False,False,Dry,12.1
2023-03-28,2023,Q1,3,March,13,1,Tuesday,False,False,True,False,False,,False,False,False,False,Rain,4.0
2023-03-29,2023,Q1,3,March,13,2,Wednesday,False,False,True,False,False,,False,False,False,False,Rain,4.1
2023-03-30,2023,Q1,3,March,13,3,Thursday,False,False,True,False,False,,True,False,False,False,Rain,15.7
2023-03-31,2023,Q1,3,March,13,4,Friday,False,True,True,False,False,,True,False,False,False,Heavy Rain,15.3
2023-04-01,2023,Q2,4,April,13,5,Saturday,True,False,True,True,False,,True,False,False,False,Rain,8.2
2023-04-02,2023,Q2,4,April,13,6,Sunday,True,False,True,True,False,,True,False,False,False,Rain,5.5
2023-04-03,2023,Q2,4,April,14,0,Monday,False,False,True,True,False,,True,False,False,False,Rain,13.5
2023-04-04,2023,Q2,4,April,14,1,Tuesday,False,False,False,True,False,,True,False,False,False,Rain,11.4
2023-04-05,2023,Q2,4,April,14,2,Wednesday,False,False,False,True,False,,True,False,False,False,Rain,8.6
2023-04-06,2023,Q2,4,April,14,3,Thursday,False,False,False,True,False,,True,False,False,False,Rain,8.7
2023-04-07,2023,Q2,4,April,14,4,Friday,False,False,False,True,True,Good Friday,True,False,False,False,Rain,13.1
2023-04-08,2023,Q2,4,April,14,5,Saturday,True,False,False,True,False,,True,False,False,False,Rain,12.4
2023-04-09,2023,Q2,4,April,14,6,Sunday,True,False,False,True,False,,True,False,False,False,Cloudy,14.2
2023-04-10,2023,Q2,4,April,15,0,Monday,False,False,False,True,True,Easter Monday,True,False,False,False,Dry,14.7
2023-04-11,2023,Q2,4,April,15,1,Tuesday,False,False,False,True,False,,True,False,False,False,Cloudy,13.4
2023-04-12,2023,Q2,4,April,15,2,Wednesday,False,False,False,True,False,,True,False,False,False,Cloudy,17.1
2023-04-13,2023,Q2,4,April,15,3,Thursday,False,False,False,True,False,,True,False,False,False,Cloudy,9.9
2023-04-14,2023,Q2,4,April,15,4,Friday,False,False,False,True,False,,True,False,False,False,Cloudy,8.6
2023-04-15,2023,Q2,4,April,15,5,Saturday,True,False,False,True,False,,True,False,False,False,Cloudy,11.8
2023-04-16,2023,Q2,4,April,15,6,Sunday,True,False,False,True,False,,True,False,False,False,Cloudy,16.1
2023-04-17,2023,Q2,4,April,16,0,Monday,False,False,False,True,False,,True,False,False,False,Rain,11.1
2023-04-18,2023,Q2,4,April,16,1,Tuesday,False,False,False,True,False,,True,False,False,False,Cloudy,11.6
