segment,discount_pct,estimate,ci_low,ci_high,true_effect,error,ci_covers_truth,estimated_lift_pct,true_lift_pct
High,5,0.2463,0.2236,0.2689,0.23,0.0163,1,27.9261,25.8553
High,10,0.4468,0.4247,0.469,0.4422,0.0046,1,56.3314,55.6149
High,15,0.6818,0.6591,0.7045,0.6552,0.0266,0,97.7443,92.5509
High,20,0.8705,0.8484,0.8925,0.8536,0.0169,1,138.8013,134.8103
High,25,1.0678,1.0467,1.0888,1.0522,0.0156,1,190.8919,186.3908
High,30,1.2411,1.2204,1.2619,1.248,-0.0069,1,245.9587,248.3502
Low,5,0.1429,0.1156,0.1702,0.1511,-0.0082,1,15.3605,16.3071
Low,10,0.2769,0.2486,0.3052,0.2796,-0.0027,1,31.9017,32.2606
Low,15,0.3987,0.3719,0.4255,0.4062,-0.0075,1,48.9855,50.1048
Low,20,0.5012,0.4719,0.5306,0.5231,-0.0219,1,65.075,68.7305
Low,25,0.6524,0.6232,0.6817,0.6443,0.0081,1,92.0167,90.4732
Low,30,0.7809,0.7526,0.8092,0.7617,0.0193,1,118.3465,114.1813
Medium,5,0.1523,0.1309,0.1736,0.1614,-0.0091,1,16.4482,17.5163
Medium,10,0.3101,0.2882,0.3319,0.3166,-0.0065,1,36.3526,37.246
Medium,15,0.4877,0.4648,0.5105,0.4683,0.0194,1,62.8513,59.7232
Medium,20,0.6333,0.6119,0.6547,0.6107,0.0227,0,88.39,84.1684
Medium,25,0.7697,0.7475,0.7919,0.7541,0.0156,1,115.9106,112.5721
Medium,30,0.9189,0.8967,0.9412,0.8941,0.0248,0,150.6646,144.5157
