store_id,sku_id,category,discount_pct,baseline_units,incremental_units,promo_margin,full_margin,promotion_cost,cannibalisation_loss,incremental_profit
STR001,SKU0096,Seasonal,25,113.3187,216.3162,2.1675,4.27,415.8344,203.3818,27.231
STR002,SKU0096,Seasonal,25,81.5385,155.6503,2.1675,4.27,299.2136,165.3017,0.6357
STR003,SKU0096,Seasonal,25,138.1,263.6217,2.1675,4.27,506.7719,225.8878,55.157
STR007,SKU0096,Seasonal,25,158.4225,302.4158,2.1675,4.27,581.3475,249.5584,72.8444
STR008,SKU0096,Seasonal,25,127.0123,242.4563,2.1675,4.27,466.0846,228.7647,29.7158
STR011,SKU0096,Seasonal,25,87.1688,166.3982,2.1675,4.27,319.8748,145.8113,31.5844
STR012,SKU0096,Seasonal,25,147.8652,282.2626,2.1675,4.27,542.6062,277.008,23.9097
STR014,SKU0096,Seasonal,25,114.9333,219.3984,2.1675,4.27,421.7595,215.9674,17.9313
STR018,SKU0096,Seasonal,25,133.7722,255.3602,2.1675,4.27,490.8904,214.0869,58.1503
STR020,SKU0096,Seasonal,25,99.4133,189.772,2.1675,4.27,364.8073,182.4486,19.8657
