draw,profit_gbp
0,-293.4915
1,-19.1375
2,-118.0123
3,-666.2907
4,170.5984
5,-375.5439
6,393.9547
7,516.9477
8,-285.0383
9,125.7324
10,135.1783
11,-449.981
12,408.0039
13,-480.2582
14,-917.3045
15,-420.3302
16,-494.7468
17,611.8193
18,-462.0608
19,-230.0214
20,-141.7615
21,-505.2295
22,-1008.1688
23,-524.5313
24,-705.3731
25,36.1566
26,-32.6426
27,-788.2513
28,988.1275
29,-466.924
30,97.9115
31,77.6253
32,-336.7301
33,682.5243
34,-166.1487
35,-31.9357
36,-364.2068
37,-162.8806
38,-494.4873
39,-1149.8191
40,-900.4999
41,-626.2148
42,23.9619
43,-1038.0854
44,-168.7501
45,-199.4509
46,-455.0939
47,1178.9175
48,951.3113
49,300.507
50,-117.18
51,285.7939
52,-652.7079
53,-538.5827
54,339.3086
55,-18.593
56,-378.1568
57,-130.8929
58,35.0395
59,204.1433
60,-555.6228
61,-473.224
62,100.4691
63,-568.2655
64,-58.2555
65,-761.2919
66,-412.1103
67,-404.5753
68,-125.6988
69,-973.4425
70,-549.1205
71,205.2862
72,-92.586
73,-667.785
74,-309.1371
75,-393.3044
76,644.3529
77,-88.6666
78,-537.274
79,-125.5691
80,-1235.8067
81,37.5893
82,-850.2183
83,135.768
84,-179.2079
85,-859.5571
86,147.7202
87,-317.7521
88,320.8674
89,-292.4553
90,-210.5453
91,-231.6523
92,-441.1744
93,26.9885
94,142.0605
95,779.1557
96,-95.1951
97,74.226
98,54.6678
99,-545.0675
100,124.3646
101,153.7076
102,295.7123
103,-3.9988
104,-409.5891
105,-728.4537
106,-1040.676
107,-297.0944
108,-66.77
109,-455.0363
110,621.095
111,-358.7311
112,-665.9402
113,-632.5165
114,6.4539
115,123.1862
116,251.9511
117,-788.1011
118,-440.3405
119,-583.1648
120,-265.3682
121,-602.9411
122,-901.863
123,-792.2008
124,286.0124
125,-130.0627
126,-23.7135
127,-247.1933
128,-369.362
129,-445.363
130,-443.6119
131,332.2257
132,-144.6331
133,-648.9979
134,-331.8731
135,129.6679
136,-391.571
137,-233.4059
138,714.7113
139,-212.7846
140,-260.5473
141,138.5014
142,-119.253
143,-525.3353
144,-51.4444
145,-164.6956
146,-337.6493
147,-264.1357
148,-782.1507
149,416.4033
150,-331.4324
151,-697.1299
152,-472.5506
153,-64.0078
154,-673.7209
155,-70.918
156,-444.485
157,-352.0363
158,-1069.8422
159,-403.7581
160,86.7295
161,-865.362
162,-487.0911
163,-353.4611
164,-232.0092
165,-318.784
166,-68.0663
167,-804.6242
168,-228.9341
169,-251.4029
170,-45.1242
171,-677.5463
172,-620.4247
173,-716.7015
174,-829.2628
175,-152.1793
176,-287.0616
177,-586.982
178,-1013.2398
179,-217.9754
180,-532.1915
181,-515.8662
182,-554.0127
183,-572.8351
184,-740.5503
185,-181.9971
