store_id,sku_id,category,service_level,safety_stock,reorder_point,is_perishable
STR001,SKU0001,Fresh Produce,0.6551,8.1351,44.1976,True
STR001,SKU0002,Dairy & Eggs,0.736,12.0579,147.8652,True
STR001,SKU0003,Ambient Grocery,0.995,22.7908,84.5508,False
STR001,SKU0004,Beverages,0.9913,79.1408,236.0363,False
STR001,SKU0005,Bakery,0.9895,58.359,169.0716,False
STR001,SKU0006,Fresh Produce,0.5777,3.995,56.514,True
STR001,SKU0007,Dairy & Eggs,0.7504,11.1815,69.1976,True
STR001,SKU0008,Frozen,0.9916,22.8512,27.3128,True
STR001,SKU0009,Snacks & Confectionery,0.995,34.8048,70.9807,False
STR001,SKU0010,Seasonal,0.995,30.304,49.4029,False
STR001,SKU0011,Household & Cleaning,0.995,22.7908,27.6201,False
STR001,SKU0012,Dairy & Eggs,0.995,42.627,199.002,False
STR001,SKU0013,Household & Cleaning,0.9933,34.6196,45.2606,False
STR001,SKU0014,Seasonal,0.995,42.8563,68.8563,False
STR001,SKU0015,Frozen,0.9664,34.9876,108.8777,True
STR001,SKU0016,Snacks & Confectionery,0.9936,58.2859,166.8612,False
STR001,SKU0017,Ambient Grocery,0.995,36.0355,66.2824,False
STR001,SKU0018,Ambient Grocery,0.995,16.1155,34.3655,False
STR001,SKU0019,Fresh Produce,0.6723,5.2511,11.5844,True
STR001,SKU0020,Dairy & Eggs,0.8644,10.5137,39.4587,True
STR001,SKU0021,Household & Cleaning,0.995,22.7908,49.0546,False
STR001,SKU0022,Bakery,0.5,0.0,117.7895,True
STR001,SKU0023,Frozen,0.995,34.8048,42.6599,False
STR001,SKU0024,Fresh Produce,0.5329,1.3745,86.7554,True
STR001,SKU0025,Beverages,0.9938,58.8708,117.7279,False
STR001,SKU0026,Fresh Produce,0.5101,0.4207,22.113,True
STR001,SKU0027,Ambient Grocery,0.9929,40.6045,78.8352,False
STR001,SKU0028,Seasonal,0.9934,58.3355,68.4015,False
STR001,SKU0029,Fresh Produce,0.5798,4.1027,90.7468,True
STR001,SKU0030,Ambient Grocery,0.9919,39.7987,101.2806,False
STR001,SKU0031,Health & Beauty,0.995,32.2311,82.2091,False
STR001,SKU0032,Beverages,0.995,74.2293,169.4436,False
STR001,SKU0033,Seasonal,0.9906,78.1863,130.4848,False
STR001,SKU0034,Snacks & Confectionery,0.995,24.6107,38.0723,False
STR001,SKU0035,Household & Cleaning,0.9919,39.8266,184.8731,False
STR001,SKU0036,Household & Cleaning,0.995,27.913,63.3195,False
STR001,SKU0037,Dairy & Eggs,0.8618,10.4011,31.0915,True
STR001,SKU0038,Ambient Grocery,0.995,27.913,72.9606,False
STR001,SKU0039,Beverages,0.9944,66.6749,180.0815,False
STR001,SKU0040,Beverages,0.9922,56.9028,79.2765,False
STR001,SKU0041,Fresh Produce,0.5,0.0,65.5652,True
STR001,SKU0042,Ambient Grocery,0.9931,40.7281,114.0843,False
STR001,SKU0043,Ambient Grocery,0.995,16.1155,19.7497,False
STR001,SKU0044,Fresh Produce,0.5,0.0,137.2747,True
STR001,SKU0045,Ambient Grocery,0.9936,41.2211,58.1211,False
STR001,SKU0046,Bakery,0.6339,3.2704,17.621,True
STR001,SKU0047,Fresh Produce,0.5278,0.8197,16.5397,True
STR001,SKU0048,Beverages,0.9948,67.3675,170.6092,False
STR001,SKU0049,Frozen,0.995,42.627,54.0744,False
STR001,SKU0050,Snacks & Confectionery,0.9935,62.7791,201.2425,False
STR001,SKU0051,Snacks & Confectionery,0.995,24.6107,61.2211,False
STR001,SKU0052,Ambient Grocery,0.9925,43.0668,122.6668,False
STR001,SKU0053,Frozen,0.995,42.627,89.8688,False
STR001,SKU0054,Seasonal,0.995,42.8563,53.0681,False
STR001,SKU0055,Beverages,0.995,42.8563,76.9674,False
STR001,SKU0056,Bakery,0.6099,2.6671,12.2935,True
STR001,SKU0057,Snacks & Confectionery,0.995,34.8048,60.0462,False
STR001,SKU0058,Fresh Produce,0.5,0.0,52.9114,True
STR001,SKU0059,Bakery,0.5395,1.6428,68.2362,True
STR001,SKU0060,Dairy & Eggs,0.995,49.2215,125.0656,False
STR001,SKU0061,Seasonal,0.9944,59.638,112.2534,False
STR001,SKU0062,Ambient Grocery,0.995,32.2311,82.9408,False
STR001,SKU0063,Beverages,0.9915,74.3097,153.002,False
STR001,SKU0064,Health & Beauty,0.995,32.2311,81.0732,False
STR001,SKU0065,Household & Cleaning,0.995,32.2311,80.2311,False
STR001,SKU0066,Snacks & Confectionery,0.9943,48.3899,100.762,False
STR001,SKU0067,Bakery,0.5,0.0,134.5055,True
STR001,SKU0068,Seasonal,0.995,42.8563,58.0758,False
STR001,SKU0069,Beverages,0.995,42.8563,84.7174,False
STR001,SKU0070,Household & Cleaning,0.995,16.1155,21.4892,False
STR001,SKU0071,Fresh Produce,0.5,0.0,39.9121,True
STR001,SKU0072,Ambient Grocery,0.99,38.4923,75.1077,False
STR001,SKU0073,Bakery,0.5,0.0,23.8286,True
STR001,SKU0074,Snacks & Confectionery,0.9919,45.9522,100.5554,False
STR001,SKU0075,Ambient Grocery,0.9072,16.5671,129.0346,True
STR001,SKU0076,Health & Beauty,0.995,22.7908,26.3673,False
STR001,SKU0077,Ambient Grocery,0.995,32.2311,63.3703,False
STR001,SKU0078,Household & Cleaning,0.9913,42.0922,108.0922,False
STR001,SKU0079,Beverages,0.9944,79.0026,312.2426,False
STR001,SKU0080,Dairy & Eggs,0.8419,9.5753,35.4434,True
STR001,SKU0081,Frozen,0.9818,39.9725,51.2452,True
STR001,SKU0082,Frozen,0.995,42.627,82.2995,False
STR001,SKU0083,Snacks & Confectionery,0.9926,46.5634,105.1568,False
STR001,SKU0084,Beverages,0.9946,79.3565,137.4906,False
STR001,SKU0085,Snacks & Confectionery,0.9937,47.6889,106.8977,False
STR001,SKU0086,Household & Cleaning,0.9909,41.7928,164.6844,False
STR001,SKU0087,Dairy & Eggs,0.7168,10.9548,79.7899,True
STR001,SKU0088,Seasonal,0.9913,79.1604,160.5098,False
STR001,SKU0089,Snacks & Confectionery,0.995,24.6107,31.5274,False
STR001,SKU0090,Health & Beauty,0.995,22.7908,26.5571,False
STR001,SKU0091,Bakery,0.995,24.6107,42.0613,False
STR001,SKU0092,Ambient Grocery,0.995,22.7908,56.9908,False
STR001,SKU0093,Frozen,0.9913,55.6356,96.1851,False
STR001,SKU0094,Health & Beauty,0.995,27.913,66.4844,False
STR001,SKU0095,Ambient Grocery,0.995,16.1155,42.5546,False
STR001,SKU0096,Seasonal,0.995,52.4881,94.9826,False
STR001,SKU0097,Dairy & Eggs,0.6013,3.4692,57.7483,True
STR001,SKU0098,Ambient Grocery,0.9915,39.4807,217.3974,False
STR001,SKU0099,Household & Cleaning,0.9937,31.2114,77.8138,False
STR001,SKU0100,Fresh Produce,0.7384,10.6241,54.841,True
STR001,SKU0101,Frozen,0.995,34.8048,48.8488,False
STR001,SKU0102,Beverages,0.9898,72.1293,166.956,False
STR001,SKU0103,Fresh Produce,0.6537,4.6525,16.8465,True
STR001,SKU0104,Household & Cleaning,0.995,16.1155,21.0405,False
STR001,SKU0105,Ambient Grocery,0.9874,39.5879,258.577,False
STR001,SKU0106,Bakery,0.5,0.0,49.5,True
STR001,SKU0107,Snacks & Confectionery,0.9903,63.1892,255.9165,False
STR001,SKU0108,Ambient Grocery,0.9915,36.5703,226.79,False
STR001,SKU0109,Beverages,0.992,74.9816,283.4375,False
STR001,SKU0110,Beverages,0.995,30.304,52.8535,False
STR001,SKU0111,Snacks & Confectionery,0.995,42.627,144.8578,False
STR001,SKU0112,Frozen,0.9942,68.2177,165.0089,False
STR001,SKU0113,Bakery,0.6894,4.7216,32.2159,True
STR001,SKU0114,Snacks & Confectionery,0.9936,62.9937,164.4937,False
STR001,SKU0115,Fresh Produce,0.55,2.0896,41.0126,True
STR001,SKU0116,Snacks & Confectionery,0.995,34.8048,78.5191,False
STR001,SKU0117,Ambient Grocery,0.993,34.3688,119.4787,False
STR001,SKU0118,Ambient Grocery,0.995,22.7908,66.7177,False
STR001,SKU0119,Dairy & Eggs,0.7727,12.3746,56.7746,True
STR001,SKU0120,Seasonal,0.9944,59.678,107.0626,False
STR001,SKU0121,Snacks & Confectionery,0.995,49.2215,99.5611,False
STR001,SKU0122,Ambient Grocery,0.995,16.1155,28.187,False
STR001,SKU0123,Bakery,0.5642,2.6744,55.7144,True
STR001,SKU0124,Beverages,0.995,30.304,51.404,False
STR001,SKU0125,Snacks & Confectionery,0.995,24.6107,45.8206,False
STR001,SKU0126,Health & Beauty,0.995,16.1155,30.7155,False
STR001,SKU0127,Ambient Grocery,0.995,22.7908,47.6718,False
STR001,SKU0128,Ambient Grocery,0.995,27.913,51.593,False
STR001,SKU0129,Fresh Produce,0.5,0.0,32.5185,True
STR001,SKU0130,Fresh Produce,0.5,0.0,46.814,True
STR001,SKU0131,Beverages,0.995,42.8563,58.8563,False
STR001,SKU0132,Ambient Grocery,0.9933,43.7281,259.9634,False
STR001,SKU0133,Frozen,0.995,24.6107,30.1313,False
STR001,SKU0134,Frozen,0.995,42.627,89.4976,False
STR001,SKU0135,Seasonal,0.9942,66.3871,109.2185,False
STR001,SKU0136,Ambient Grocery,0.9914,36.4879,71.2352,False
STR001,SKU0137,Beverages,0.995,30.304,47.5767,False
STR001,SKU0138,Dairy & Eggs,0.7804,7.3907,19.8742,True
STR001,SKU0139,Health & Beauty,0.9918,39.7574,98.4497,False
STR001,SKU0140,Snacks & Confectionery,0.995,42.627,89.3359,False
STR001,SKU0141,Dairy & Eggs,0.8556,14.3302,89.8437,True
STR001,SKU0142,Ambient Grocery,0.9918,39.7486,119.4409,False
STR001,SKU0143,Fresh Produce,0.5,0.0,76.7912,True
STR001,SKU0144,Beverages,0.995,30.304,36.5348,False
STR001,SKU0145,Dairy & Eggs,0.883,11.3695,24.9409,True
STR001,SKU0146,Snacks & Confectionery,0.994,47.9839,87.6839,False
STR001,SKU0147,Ambient Grocery,0.9933,37.8897,199.5051,False
STR001,SKU0148,Fresh Produce,0.5185,1.0894,147.9026,True
STR001,SKU0149,Bakery,0.6469,3.6018,23.6483,True
STR001,SKU0150,Beverages,0.9898,72.1249,146.4459,False
STR002,SKU0001,Fresh Produce,0.6551,8.1351,31.6891,True
STR002,SKU0002,Dairy & Eggs,0.736,12.0579,112.014,True
STR002,SKU0003,Ambient Grocery,0.995,22.7908,73.1908,False
STR002,SKU0004,Beverages,0.9913,79.1408,209.5158,False
STR002,SKU0005,Bakery,0.9895,58.359,153.359,False
STR002,SKU0006,Fresh Produce,0.5777,3.995,48.3463,True
STR002,SKU0007,Dairy & Eggs,0.7504,11.1815,62.3278,True
STR002,SKU0008,Frozen,0.9916,22.8512,26.1271,True
STR002,SKU0009,Snacks & Confectionery,0.995,34.8048,64.4312,False
STR002,SKU0010,Seasonal,0.995,30.304,43.8535,False
STR002,SKU0011,Household & Cleaning,0.995,22.7908,26.6427,False
STR002,SKU0012,Dairy & Eggs,0.995,42.627,179.1712,False
STR002,SKU0013,Household & Cleaning,0.9933,34.6196,45.5184,False
STR002,SKU0014,Seasonal,0.995,42.8563,64.2563,False
STR002,SKU0015,Frozen,0.9664,34.9876,92.9217,True
STR002,SKU0016,Snacks & Confectionery,0.9936,58.2859,157.9123,False
STR002,SKU0017,Ambient Grocery,0.995,36.0355,60.2113,False
STR002,SKU0018,Ambient Grocery,0.995,16.1155,29.5571,False
STR002,SKU0019,Fresh Produce,0.6723,5.2511,9.7016,True
STR002,SKU0020,Dairy & Eggs,0.8644,10.5137,32.8543,True
STR002,SKU0021,Household & Cleaning,0.995,22.7908,46.953,False
STR002,SKU0022,Bakery,0.5,0.0,124.3944,True
STR002,SKU0023,Frozen,0.995,34.8048,41.1505,False
STR002,SKU0024,Fresh Produce,0.5329,1.3745,62.6732,True
STR002,SKU0025,Beverages,0.9938,58.8708,118.347,False
STR002,SKU0026,Fresh Produce,0.5101,0.4207,20.1908,True
STR002,SKU0027,Ambient Grocery,0.9929,40.6045,74.4113,False
STR002,SKU0028,Seasonal,0.9934,58.3355,67.3905,False
STR002,SKU0029,Fresh Produce,0.5798,4.1027,80.1148,True
STR002,SKU0030,Ambient Grocery,0.9919,39.7987,85.4932,False
STR002,SKU0031,Health & Beauty,0.995,32.2311,69.7256,False
STR002,SKU0032,Beverages,0.995,74.2293,144.0865,False
STR002,SKU0033,Seasonal,0.9906,78.1863,117.154,False
STR002,SKU0034,Snacks & Confectionery,0.995,24.6107,35.369,False
STR002,SKU0035,Household & Cleaning,0.9919,39.8266,152.3266,False
STR002,SKU0036,Household & Cleaning,0.995,27.913,54.6492,False
STR002,SKU0037,Dairy & Eggs,0.8618,10.4011,26.4585,True
STR002,SKU0038,Ambient Grocery,0.995,27.913,67.7512,False
STR002,SKU0039,Beverages,0.9944,66.6749,164.3122,False
STR002,SKU0040,Beverages,0.9922,56.9028,74.7976,False
STR002,SKU0041,Fresh Produce,0.5,0.0,57.5072,True
STR002,SKU0042,Ambient Grocery,0.9931,40.7281,107.7281,False
STR002,SKU0043,Ambient Grocery,0.995,16.1155,19.3655,False
STR002,SKU0044,Fresh Produce,0.5,0.0,102.989,True
